Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
509243,TVSSRICHAK,TVS SRICHAKRA LTD.,Active,B,10.0,INE421C01016,Auto Tyres & Rubber Products,Equity
509423,SEL,SANATHNAGAR ENTERPRISES LIMITE,Active,X,10.0,INE367E01033,,Equity
509438,BENARAS,BENARES HOTELS LTD.,Active,B,10.0,INE664D01019,Hotels,Equity
509449,BHAGWOX,BHAGWATI OXYGEN LTD.,Active,X,10.0,INE026I01010,Commodity Chemicals,Equity
509470,BOMOXY-B1,BOMBAY OXYGEN INVESTMENTS LIMI,Active,X,100.0,INE01TL01014,,Equity
509472,CRAVATEX,CRAVATEX LTD.,Active,B,10.0,INE145E01017,Comm.Trading  & Distribution,Equity
509480,BERGEPAINT,BERGER PAINTS INDIA LTD.,Active,A,1.0,INE463A01038,Furniture-Furnishing-Paints,Equity
509486,CAPRIHANS,CAPRIHANS INDIA LTD.,Active,XT,10.0,INE479A01018,Plastic Products,Equity
509488,GRAPHITE,GRAPHITE INDIA LTD.,Active,A,2.0,INE371A01025,Other Industrial Goods,Equity
509496,CEMPRO,Cemindia Projects Limited,Active,A,1.0,INE686A01026,Construction & Engineering,Equity
509525,EMPIND,EMPIRE INDUSTRIES LTD.,Active,B,10.0,INE515H01014,Diversified,Equity
509546,GRAVISSHO,GRAVISS HOSPITALITY LIMITED,Active,B,2.0,INE214F01026,Hotels,Equity
509557,GARFIBRES,GARWARE TECHNICAL FIBRES LIMIT,Active,A,10.0,INE276A01018,Textiles,Equity
509563,GARWAMAR,GARWARE MARINE INDUSTRIES LTD.,Active,X,10.0,INE925D01014,Textiles,Equity
509567,GOACARBON,GOA CARBON LTD.,Active,B,10.0,INE426D01013,Refineries/ Petro-Products,Equity
509597,HARDCAS,HARDCASTLE & WAUD MFG.CO.LTD.,Active,X,10.0,INE722D01015,Specialty Chemicals,Equity
509631,HEG,HEG LTD.,Active,A,2.0,INE545A01024,,Equity
509635,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,Active,B,5.0,INE310C01029,,Equity
509650,ZHINDHSG,HINDUSTAN HOUSING CO.LTD.,Active,XT,25.0,INE083O01019,Housing Finance,Equity
509675,BIRLANU,BIRLANU LIMITED,Active,B,10.0,INE557A01011,Cement & Cement Products,Equity
509692,INDIANCARD,INDIAN CARD CLOTHING CO.LTD.,Active,B,10.0,INE061A01014,Textiles,Equity
509709,INTLCONV,INTERNATIONAL CONVEYORS LTD.,Active,B,1.0,INE575C01027,Plastic Products,Equity
509715,JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,Active,B,5.0,INE364A01020,Tea & Coffee,Equity
509732,KOTIC,KOTHARI INDUSTRIAL CORPORATION,Active,B,5.0,INE972A01020,,Equity
509760,MODRNSH,MODERN SHARES & STOCKBROKERS L,Active,X,10.0,INE370A01019,Other Financial Services,Equity
509762,MAPROIN,MAPRO INDUSTRIES LTD.,Active,XT,10.0,INE848M01019,,Equity
509782,OSEASPR,OSEASPRE CONSULTANTS LTD.,Active,XT,10.0,INE880P01015,,Equity
509820,HUHTAMAKI,HUHTAMAKI INDIA LIMITED,Active,B,2.0,INE275B01026,Containers & Packaging,Equity
509835,PREMSYN,PREMIER SYNTHETICS LTD.,Active,X,10.0,INE940N01012,Textiles,Equity
